,Unnamed: 0,text,reason,label,clean_text
0,0,the app is crashing when i play a vedio,app crashes during playback,1.0,the app be crash when i play a vedio
1,1,but i want to connect it to the tv from one device to another,want compatibility with more smart televisions,0.0,but i want to connect it to the tv from one device to another
2,2,very helpful when and home working remotley,good app for work,0.0,very helpful when and home work remotley
3,3,this zoom so called and missed call and mobile number,receiving incorrect phone number message,0.0,this zoom so call and miss call and mobile number
4,4,one of my favorite apps,good for spending time,0.0,one of my favorite apps
5,5,I have enjoyed watching my favorite shows and movies.,good to watch shows,1.0,i have enjoy watch my favorite show and movies
6,6,we have not had internet for a month and a half we can not watch turktelekom not doing it bisey,unable to access live tv,0.0,we have not have internet for a month and a half we can not watch turktelekom not do it bisey
7,7,this is great app when you download the video the video will be playing offline without adds .,good app to download videos,1.0,this be great app when you download the video the video will be play offline without add
8,8,"excellent app for video conferencing, the only drawback that with ipad pro m1, which is almost a pc, does not create rooms.",want to record on ipad,0.0,excellent app for video conferencing the only drawback that with ipad pro m1 which be almost a pc do not create room
9,9,"also, i can continue watching where i left off.",unable to sync watched episodes,0.0,also i can continue watch where i leave off
10,10,sorry to say that a small issue takes more than one and half month to resolve.it's too bad service. why should one continue. @zoom,zoom server crashes,0.0,sorry to say that a small issue take more than one and half month to resolve it s too bad service why should one continue zoom
11,11,my issues not getting resolved.,want to contact technical support,0.0,my issue not get resolve
12,12,it will not let me play movies now,unable to view all movies,1.0,it will not let me play movies now
13,13,"love it.. has so much to watch.. family, kids, dramas..",good to watch shows,1.0,love it have so much to watch family kid dramas
14,14,learn the tips and tricks to recording your podcast episode remotely!,want to record audio when not the host,0.0,learn the tip and trick to record your podcast episode remotely
15,15,her zoom is useful for home school or meetings at home,good app for students,1.0,her zoom be useful for home school or meet at home
16,16,"very good application great, but that is to say that the network is bothering",facing network issues with app,1.0,very good application great but that be to say that the network be bother
17,17,watching on tv can have its moments where ads become a problem but not like the mobile app.,getting ads frequently,0.0,watch on tv can have its moments where ads become a problem but not like the mobile app
18,18,its good for meetings,good app for conducting online meeting,0.0,its good for meet
19,19,can you reactivate my subscription please,unable to unsubscribe,0.0,can you reactivate my subscription please
20,20,"the app works well, i use it to talk to friends and it fulfills its purpose",good for family and friends,0.0,the app work well i use it to talk to friends and it fulfill its purpose
21,21,we have enjoyed the benefits of this program as jehovah's witness worldwide.thank you for this wonderful program that joined us together each week !thank you,good app for conducting online meeting,0.0,we have enjoy the benefit of this program as jehovah s witness worldwide thank you for this wonderful program that join us together each week thank you
22,22,"sensational, it is disney",app is good to watch disney content,0.0,sensational it be disney
23,23,family guy is my life thank you disney+ and everyone who works there family guy is my favourite cartoon tv series followed by american dad then the orville but family is all i really watch every day all day I have watched all 20 seasons coming up to 3 times now so thank you so much for giving me a way to watch them properly unlike youtube where all the episodes have water marks and cuts randomly really annoying,good for watching movies and serials,0.0,family guy be my life thank you disney and everyone who work there family guy be my favourite cartoon tv series follow by american dad then the orville but family be all i really watch every day all day i have watch all 20 season come up to 3 time now so thank you so much for give me a way to watch them properly unlike youtube where all the episodes have water mark and cut randomly really annoy
24,24,actually very good platform but it takes too long for new movies to arrive,app is not good,0.0,actually very good platform but it take too long for new movies to arrive
25,25,tried uninstalling and reinstalling several times with no luck.,reinstalling did not work,1.0,try uninstalling and reinstall several time with no luck
